"","QE_I01","NT_GER","NT_FG","QE_I25"
"1","A",36.4,45.6,"H"
"2","A",66.3,78.8,"E"
"3","A",27.3,48.5,"E"
"4","A",54.6,68.9,"H"
"5","A",34.8,48.9,"G"
"6","A",44.2,51.7,"H"
"7","A",34.1,30,"E"
"8","A",38.9,59.4,"E"
"9","A",47.6,62.2,"H"
"10","A",41.4,45.1,"H"
"11","A",58.3,59.6,"E"
"12","A",41.1,56.7,"E"
"13","B",42.5,65.4,"H"
"14","A",61.2,58.9,"H"
"15","A",35,43.5,"H"
"16","B",52.9,73.6,"E"
"17","A",24.2,25.5,"E"
"18","A",40.3,53.4,"A"
"19","A",39.8,50.7,"H"
"20","A",47.3,59.4,"E"
"21","A",59.9,55.3,"E"
"22","B",41,46.5,"H"
"23","A",53.2,59.6,"A"
"24","A",65.1,49,"E"
"25","A",38.7,45.1,"E"
"26","A",30.7,44.1,"A"
"27","C",58,49.2,"E"
"28","A",54.5,46.7,"H"
"29","A",33.8,44.9,"E"
"30","A",62.7,30,"H"
"31","A",44.6,52.7,"E"
"32","B",42.7,61.1,"E"
"33","A",45.6,53.8,"A"
"34","A",37.5,52.3,"A"
"35","A",55.7,63.3,"E"
"36","A",48.4,70,"H"
"37","A",31.5,19.7,"H"
"38","A",31.1,48.4,"H"
"39","B",70.7,67.6,"A"
"40","A",32.1,56.4,"C"
"41","A",55.9,56.3,"H"
"42","A",41.9,41,"A"
"43","A",36.1,45,"A"
"44","A",40.3,53.4,"A"
"45","C",34.9,50.8,"E"
"46","A",31.8,47.5,"A"
"47","A",46.3,57.1,"H"
"48","A",27.3,44.1,"E"
"49","B",64.1,73.8,"H"
"50","A",54.3,44.9,"H"
"51","A",35.2,45,"H"
"52","B",48.2,67.2,"H"
"53","A",42.5,51.6,"H"
"54","E",38.7,48.4,"H"
"55","B",43.8,50.9,"E"
"56","A",38,47.3,"H"
"57","A",53.6,43.6,"H"
"58","A",61.1,63,"E"
"59","B",40,39.4,"H"
"60","A",52.3,64.2,"E"
"61","B",32.2,22.6,"E"
"62","A",38.8,43.4,"A"
"63","B",37.9,30.3,"H"
"64","A",53.8,68.8,"E"
"65","A",37.4,32.7,"H"
"66","B",36.6,55.9,"H"
"67","A",24.9,26.5,"A"
"68","B",50.4,72.5,"H"
"69","A",21.9,43.7,"G"
"70","B",37.9,41.4,"B"
"71","B",36.2,50.7,"A"
"72","A",42.1,55.4,"E"
"73","D",36.2,54.3,"A"
"74","E",54.9,77.8,"H"
"75","A",36.6,30.4,"H"
"76","B",46.5,46.7,"H"
"77","A",45.7,54.1,"H"
"78","A",27.8,39.6,"H"
"79","A",47.1,43.8,"G"
